,0
1558,1980
1559,1140
1560,1200
1561,2280
1562,960
1563,480
1564,2040
1565,600
1566,1980
1567,1020
1568,2100
1569,2280
1570,480
1571,1980
1572,1980
1573,1020
1574,1320
1575,2100
1576,1320
1577,360
1578,2580
1579,900
1580,1500
1581,660
1582,600
1583,1680
1584,1620
1585,1620
1586,2100
1587,1320
1588,1200
1589,1920
1590,540
1591,1500
1592,1560
1593,1800
1594,360
1595,780
1596,1800
1597,1500
1598,2280
1599,1560
1600,720
1601,780
1602,1680
1603,1740
1604,420
1605,660
1606,2040
1607,1200
1608,780
1609,1260
1610,720
1611,2100
1612,2580
1613,780
1614,1680
1615,660
1616,660
1617,840
1618,1200
1619,420
1620,2400
1621,960
1622,2400
1623,780
1624,1140
1625,1200
1626,600
1627,2520
1628,240
1629,2400
1630,1260
1631,2160
1632,2520
1633,660
1634,1320
1635,1680
1636,540
1637,1860
1638,2520
1639,2100
1640,2100
1641,1020
1642,1800
1643,540
1644,1440
1645,2100
1646,1080
1647,1662
1648,1440
1649,1080
1650,360
1651,540
1652,540
1653,1620
1654,1475
1655,1320
1656,1920
1657,840
1658,420
1659,1020
1660,1320
1661,1200
1662,1500
1663,1020
1664,480
1665,1680
1666,2460
1667,2280
1668,480
1669,1740
1670,2460
1671,540
1672,960
1673,1920
1674,1800
1675,540
1676,1200
1677,1680
1678,1440
1679,600
1680,1680
1681,360
1682,1080
1683,1860
1684,2100
1685,1740
1686,480
1687,1740
1688,660
1689,2400
1690,480
1691,480
1692,1200
1693,1320
1694,1560
1695,1020
1696,1740
1697,1260
1698,840
1699,360
1700,480
1701,2400
1702,660
1703,1920
1704,2100
1705,1800
1706,420
1707,1800
1708,1380
1709,660
1710,1140
1711,540
1712,420
1713,780
1714,1140
1715,2340
1716,360
1717,1320
1718,1020
1719,1920
1720,1020
1721,360
1722,480
1723,1140
1724,2220
1725,780
1726,840
1727,2280
1728,2580
1729,2400
1730,540
1731,1140
1732,660
1733,480
1734,1260
1735,1260
1736,2400
1737,1920
1738,840
1739,1860
1740,900
1741,1020
1742,1080
1743,480
1744,1380
1745,960
1746,600
1747,1140
1748,1320
1749,1320
1750,540
1751,600
1752,1980
1753,1440
1754,2100
1755,900
1756,900
1757,1860
1758,360
1759,2400
1760,900
1761,780
1762,840
1763,1320
1764,1320
1765,2160
1766,1320
1767,1020
1768,1380
1769,540
1770,1260
1771,2160
1772,2520
1773,540
1774,1860
1775,420
1776,1740
1777,1200
1778,1320
1779,1200
1780,2100
1781,720
1782,720
1783,960
1784,2400
1785,1080
1786,480
1787,1500
1788,2040
1789,1980
1790,1920
1791,480
1792,1560
1793,1260
1794,1260
1795,1260
1796,1800
1797,660
1798,540
1799,1980
1800,960
1801,1680
1802,1680
1803,2280
1804,1740
1805,600
1806,1140
1807,1080
1808,1500
1809,2160
1810,720
1811,1980
1812,660
1813,1680
1814,1140
1815,1080
1816,1020
1817,540
1818,780
1819,960
1820,2100
1821,960
1822,720
1823,1440
1824,2280
1825,1560
1826,1260
1827,1860
1828,1020
1829,1080
1830,1620
1831,720
1832,300
1833,900
1834,1140
1835,1320
1836,1680
1837,540
1838,1380
1839,840
1840,1860
1841,2460
1842,660
1843,480
1844,960
1845,1800
1846,2160
1847,1140
1848,780
1849,1380
1850,840
1851,1980
